current_position,current_company,years_of_experience,total_skills,education_degree,education_institution,certifications,city,state,country,profile_type
Software Engineer,Flipkart,13.7,"JSON, Engineering, React Native, Problem Solving, Technical Documentation, Communication, Core Java, Postman API, Android Studio, Information Technology, C (Programming Language), Web Development, HTML, WordPress, Blogger, Java, SQL, Android Development, Back-End Web Development, JavaScript, C++, Next.js, PHP, Python (Programming Language), React.js, Node.js, Express.js, Git, GitHub, Android, Bootstrap, Cascading Style Sheets (CSS), Web Applications, MongoDB, Software Development, Front-End Development, Object-Oriented Programming (OOP), Databases, Flutter, Data Structures, Cloudflare, REST APIs, Computer Science, MySQL, Programming, Full-Stack Development, Flask, Algorithms, Affiliate Marketing, Search Engine Optimization (SEO), Web Content Writing, On-Page SEO, Off-Page SEO",Bachelor of Technology - BTech,Indian Institute of Information Technology Kota,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer Development-I,HyScaler,3.8,"Redux, tailwndcss, React Native, MongoDB, React.js, Next.js, Laravel, filament, GraphQL, Express.js, HTML, Cascading Style Sheets (CSS), JavaScript",Master of Computer Applications - MCA,"Trident Academy of Technology (TAT), Bhubaneswar",,Bengaluru,Karnataka,India,frontendFinal
Software Development Engineer III,Swiggy,7.8,"React.js, JavaScript, Node.js, Web Development, Programming, Software Development, Software Development Life Cycle (SDLC), Agile Methodologies, Algorithms, Software Design, Data Structures, Object-Oriented Programming (OOP), Agile Environment, Web Technologies, Spring Framework, Java, Adobe Photoshop, HTML, Cascading Style Sheets (CSS), MySQL, Oracle Database, SQL, Core Java, HTML5, Bootstrap, jQuery, MongoDB, Databases, Spring MVC, Hibernate, Spring Boot, SOAP, RESTful WebServices, Unix, PostgreSQL, REST APIs, Amazon Web Services (AWS), AWS Lambda, Python (Programming Language), Elasticsearch, Management, Leadership, Teamwork, Communication, Problem Solving, DevOps, Full-Stack Development, Back-End Web Development, TypeScript",Bachelor of Technology (B.Tech.),UPES,"Banking Industry Foundations, Enterprise Design Thinking Practitioner, Certified DevOps Developer, IBM Agile Explorer, Telecom Informatics Specialist",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer,Capgemini,2.4,"Redux, Material UI, HTML5, Visual Studio, Git, Eclipse, JavaScript eXtension (JSX), JavaScript, Bitbucket, HTML, Cascading Style Sheets (CSS), Bootstrap (Framework), C (Programming Language), MySQL, java , Java, Spring Boot, PostgreSQL, Core Java, React.js, Microsoft Word, Microsoft Excel, Microsoft PowerPoint",Master of Computer Applications - MCA,Kalasalingam University,"Google Cloud Certified Cloud Digital Leader, Microsoft Certified: Azure Fundamentals",Bengaluru,Karnataka,India,frontendFinal
Frontend Developer (SFCC),Cloud odyssey IT Solutions,1.2,"Anti-Money Laundering, KYC Verification, Next.js, Tailwind CSS, Express.js, Node.js, JSON, GIT and Github, Resolving Issues, Front-end Engineering, Product Lifecycle Management, User Experience (UX), Operational Efficiency, IT Project & Program Management, Web Development, Business Process Improvement, MERN Stack, Communication, MongoDB, GitHub, Jira, React.js, Health insurance verification , Microsoft Office, Microsoft Word, Microsoft Excel, Analytical Skills, Problem Solving, WordPress, Shopify, TypeScript, Agile Development, User Interface Design, Git, HTML, Debugging, Front-End Development, SASS, Version Control Tools, Responsive Web Design, Bootstrap, Software Development Methodologies, Salesforce B2C Commerce, jQuery, JavaScript, Cascading Style Sheets (CSS), HTML5",Bachelor of Arts - BA,DON BOSCO COLLEGE OF ARTS AND SCIENCE,"Foundation in AML and KYC, Web Developer-Full Stack Developer, UI/UX for Beginners, Salesforce B2C Commerce Cloud Developer",Bengaluru,Karnataka,India,frontendFinal
SDE III,Walmart Global Tech India,6.1,"React.js, Databases, Communication, Product Delivery, jQuery, Front-End Development, Programming, Software Development, Agile Methodologies, Object-Oriented Programming (OOP), Web Development, C++, Python (Programming Language), JavaScript, Algorithms, Data Structures, C (Programming Language), Angular , Cascading Style Sheets (CSS), Microsoft Office, SQL, PHP, HTML, Natural Language Processing (NLP)",Bachelor's degree,RV College Of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Implementation Consultant,"Cprime, Inc",3.7,"Javascript , Application Programming Interfaces (API), Application Development, Agile Methodologies, Jira, Version Control, Web Performance, Software Implementation, User Requirements, React Hooks, WebUI, Representational State Transfer (REST), Server Side, Project Management Software, REST APIs, JSON, Babel.js, Git, Code Design, Creative Problem Solving, JavaScript Object Model (JSOM), Technical Documentation, Optimization, Code Review, Web Technologies, Creativity , Decision-Making, Problem Solving, Adaptability, Time Management, Critical Thinking, Team work, Software Development, Web Design, Redux, React.js, SQL, MySQL, HTML, Web Application Development, Responsive Web Design, JavaScript, Bootstrap, Cascading Style Sheets (CSS), HTML5, Communication, ccna",Bachelor of Engineering - BE,AMC Engineering College - India,"ACP Targetprocess Exam, ACP: ApptioOne TBM Studio Configuration Final Assessment, Build Responsive Real-World Website with HTML and CSS, SQL for Beginners: Learn SQL using MySQL and Database Design, CCNA : Introduction To Networks, CCNA: Switching, Routing, and Wireless Essentials, Python Basics, Capstone : Retrieving , Processing, and Visualizing Data with Python, Using Python to Access Web Data, AI For Everyone, Introduction to Artificial Intelligence, Introduction to the internet of Things and Embedded Systems, Programming for Everybody, Python Data Structures",Bengaluru,Karnataka,India,frontendFinal
Advanced Software Engineer,Scientific Games - India,12.1,"Git, Web Design, HTML, Photoshop, jQuery, CSS, JavaScript, HTML 5, Illustrator, Web Development, AngularJS, Responsive Web Design, CSS3, basic c, Lightroom, Adobe Photoshop, Cascading Style Sheets (CSS), User Interface Design, HTML5, angular js , Angular 7, Time Management, Teamwork, Productivity Improvement, Personal Development",B.E,Visvesvaraya Technological University,"Being an Effective Team Member, Productivity Tips: Finding Your Productive Mindset, Time Management: Working from Home",Bengaluru,Karnataka,India,frontendFinal
Software Engineer I,McKinsey & Company,3.8,"Redux.js, styled-components, React.js, Python (Programming Language), C++, Firebase, Data Structures, GitHub",Bachelor of Engineering - BE,SSN College of Engineering,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer II,Rippling,3.8,"Redux, WebSocket, Webpack, User Experience (UX), Unit Testing, Computer Science, Agile Development, Communication, High-Level Design, Redux.js, Web Development, Operating Systems, Computer Networking, Computer Architecture, Data Structures, Programming, JavaScript, HTML5, Cascading Style Sheets (CSS), Bootstrap, React.js, Git, Java, Algorithms, PostgreSQL, Database Management System (DBMS), Time Management, Teamwork, SQL, Node.js, Express.js, MongoDB, Socket.io, git",Bachelor of Technology - BTech,Dhirubhai Ambani University,Problem solving,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer ,HCL Software,8.2,"Go (Programming Language), Angular, React.js, JavaScript, HTML5, Cascading Style Sheets (CSS), MySQL, MongoDB, Java",Bachelor of Engineering - BE,Visvesvaraya Technological University,,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,LTIMindtree,6.4,"AWS Lambda, Amazon Web Services (AWS), Responsive Web Design, HTML5, Cascading Style Sheets (CSS), Material-UI, GitHub, Redux, Git, Docker, Software Development, React.js, Node.js, HTML/CSS, Tailwind CSS, 工商管理, 金融衍生产品, 办公室行政管理, 高管行政协助, 高管支持, 活動策劃",Bachelor of Engineering - BE,Bangalore Institute of Technology,Building Modern Node.js Applications on AWS,Bengaluru,Karnataka,India,frontendFinal
,,,"Self-Motivated, Analytical Thinker, Project Management, Attention to Detail, Collaboration and Teamwork, Java Swing, Java Database Connectivity (JDBC), OOPS, JavaScript, Problem Solving, Object-Oriented Programming (OOP), C++, React.js, Web Development, Engineering, AutoCAD, Hand-drawing, Sketching, Java, HTML, Cascading Style Sheets (CSS), SQL, MySQL, Industrial training , Teamwork",Bachelor of Technology - BTech,Hooghly Engineering and Technology College,,Bengaluru,Karnataka,India,frontendFinal
Software Engineer ll,Elsevier,5.2,"ES6+, Basic Routing, Rendering Elements, State Management ,  Handling Events, Form Validation, Memory Management, concurrency model, event loops, Functions, Currying, Hoisting, Scope, Inheritance,  Events and Error Handling, Front-End Design, Front-end Coding, HTML5, Front-End Development, Application Programming Interfaces (API), React Hooks, E-Commerce, JavaScript Frameworks, Google Maps, Geographic Information Systems (GIS), Web Applications, Material-UI, Software Development, Project Management Software, Jira, Search Engine Optimization (SEO), Fundamentals, npm, Tailwind CSS, Hooks, Data Visualization, CSS Flexbox, Programming, Debugging, Server Side, Code Review, Jest, Sprint Planning, Version Control, Optimization Techniques, Babel.js, Requirement Specifications, User Interface Design, Critical Thinking, Problem Solving, Microsoft Visual Studio Code, REST APIs, JavaScript Object Model (JSOM), JSON, Document Object Model (DOM), Design Patterns, Git, Redux.js, Jsx, jQuery, React.js, SQL, JavaScript, HTML, Cascading Style Sheets (CSS)",Bachelor of Engineering - BE,"Bapuji Institute of Engineering & Technology, DAVANAGERE","Frontend Developer (React) Certificate, JavaScript (Basic) Certificate, JavaScript (Intermediate) Certificate, React (Basic) Certificate",Bengaluru,Karnataka,India,frontendFinal
Software Engineer,Invensis,6.8,"Java, Spring Boot, MySQL, Amazon Web Services (AWS), Bootstrap (Framework), PHP, Laravel, PostgreSQL, Node.js, Git, Next.js, React.js, Sveltekit , TypeScript, Svelte JS, HTML5, Cascading Style Sheets (CSS), JavaScript, Tailwind CSS",Master of Computer Applications - MCA,"Bhilai Institute of Technology (BIT), Durg",,Bengaluru,Karnataka,India,frontendFinal
Senior Software Engineer,Digit Insurance,8.3,"Document Object Model (DOM), JSON Web Token (JWT), Model-View-Controller (MVC), Ag grid, Stack, Programming, Fundamentals, Retail Domain, Debugging, Technical Design, IT Accessibility, Design Guidelines, Problem Solving, High Performance Computing (HPC), Interpersonal Skills, Unit Testing, HTML, jQuery, JSON, Git, Communication, English, JavaScript, Bootstrap, HTML5, Cascading Style Sheets (CSS), Angular, jQuery UI, Postman API, STS, TypeScript, LinkedIn Learning ",Bachelor of Science - BS,Sri Venkateswara University,,Bengaluru,Karnataka,India,frontendFinal
Senior Analyst,Accenture,5.7,"Next JS, Tailwind CSS, Styled Components, Microsoft Clarity, Chakra UI, Headless UI, Integration Testing, Manual Testing, Microsoft Word, Microsoft Office, Microsoft Azure Pipelines, Context API, Next.js, JavaScript, Cascading Style Sheets (CSS), JSON, Communication, Confluence, Jira, Responsive Web Design, Business Communications, Email Etiquette, TypeScript, Git, GitHub, Agile Methodologies, Interpersonal Communication, React.js",Bachelor of Engineering - BE,PSNA College of Engineering and Technology,"Infosys Certified Frontend Developer, Infosys Certified Agile Professional, Infosys Certified Web Developer",Bengaluru,Karnataka,India,frontendFinal
SDE 2,Sapiens,5.1,"Angular Material, angular, Html CSS Typescript JavaScript bootstrap , Angular , Angular Material, Angular Command Line Interface (CLI), HTML5, Bootstrap, Google Analytics, REST APIs, Angular, HTML, TypeScript, Computer Networking, Android Development, Cascading Style Sheets (CSS), Java, Python (Programming Language), C++, C (Programming Language), JavaScript",Bachelor of Engineering - BE,Visvesvaraya Technological University,"Agile leadership , Modern JavaScript ES6 , JavaScript Essential Training, Linux Foundation Cert Prep: Essential Commands (Ubuntu), Elastic Cloud Infrastructure:Scaling and Automation, Essential Cloud Infrastucture-Core sevices, Essential Cloud Infrastructure:Foundation
, Cloud Study Jam-Kubernetes Engine: Qwik Start, GCP Essentials, Elastic cloud infrasturcture:Containers and services, Google Cloud Platform-Core Infrastructure, Reliable Cloud Infrastructure: Design and Process",Bengaluru,Karnataka,India,frontendFinal
System Engineer,Tata Consultancy Services,11.1,"CSS3, RxJS, Angular 13, Unit Testing, Problem Solving, Interpersonal Communication, Debugging, REST APIs, Gitlab, MongoDB, Responsive Web Design, Web Development, HTML, Front-End Development, Document Object Model (DOM), TypeScript, HTML5, Cascading Style Sheets (CSS), JavaScript, Bootstrap, GitHub, SQL, Angular, Angular Material",Master of Computer Applications - MCA,Jain (Deemed-to-be University),,Bengaluru,Karnataka,India,frontendFinal
SDE 2,Meesho,3.6,"code editor, Chrome Extensions, react-library, showcase, REST APIs, IndexedDB, Web Caching, CSS, SEO, NextJs, Responsive Web Design, TypeScript, Node.js, Web Performance, Redux.js, styled-components, Next.js, Front-End Development, English, JavaScript, C++, Cascading Style Sheets (CSS), HTML, HTML5, CSS Flexbox, CSS Grid Layout, jQuery, JSON, React.js, SASS, Data Structures, DSA, Git",Bachelor of Technology - BTech,"Indian Institute of Technology (Banaras Hindu University), Varanasi",,Bengaluru,Karnataka,India,frontendFinal
Newton school,Newton school,1.2,"Data Structures, Express.js, Cascading Style Sheets (CSS), Tailwind CSS, React.js, Next.js, Node.js, MongoDB, JavaScript, Java, dsa, HTML, SQL, Core Java",Bachelor of Engineering - BE,Visvesvaraya Technological University,Full Stack Web Development,Bengaluru,Karnataka,India,frontendFinal
